Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Bldg ID,Bldg Name,Address,Ownership,Room Number,Sq Ft,Room Function,Shared with other schools?,Inside v outside,Space used for any other purpose beside PE
Manhattan,1,1,01M509,Marta Valle High School,High school,M025,J.H.S. 25 - MANHATTAN,145 STANTON STREET,DOE Owned,GYM,5251,GYMNASIUM,true,Inside,false
Manhattan,1,1,01M509,Marta Valle High School,High school,M025,J.H.S. 25 - MANHATTAN,145 STANTON STREET,DOE Owned,OUTDOOR YARD 1,300100,OUTDOOR YARD,true,Outside,false
Manhattan,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - MANHATTAN,145 STANTON STREET,DOE Owned,471,682,WEIGHT ROOM,false,Inside,false
Manhattan,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - MANHATTAN,145 STANTON STREET,DOE Owned,GYM,5251,GYMNASIUM,true,Inside,false
Manhattan,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - MANHATTAN,145 STANTON STREET,DOE Owned,OUTDOOR YARD 1,300100,OUTDOOR YARD,true,Outside,false
Manhattan,1,1,01M539,"New Explorations into Science, Technology and Math High School",K-12 all grades,M022,N.E.S.T (OLD J22) - MANHATTAN,111 COLUMBIA STREET,DOE Owned,109,770,MULTI-PURPOSE CLASSROOM,false,Inside,true
Manhattan,1,1,01M539,"New Explorations into Science, Technology and Math High School",K-12 all grades,M022,N.E.S.T (OLD J22) - MANHATTAN,111 COLUMBIA STREET,DOE Owned,GYM,6600,GYMNASIUM,false,Inside,false
Manhattan,1,1,01M539,"New Explorations into Science, Technology and Math High School",K-12 all grades,M022,N.E.S.T (OLD J22) - MANHATTAN,111 COLUMBIA STREET,DOE Owned,OUTDOOR YARD 1,9000,OUTDOOR YARD,false,Outside,false
Manhattan,1,1,01M539,"New Explorations into Science, Technology and Math High School",K-12 all grades,M022,N.E.S.T (OLD J22) - MANHATTAN,111 COLUMBIA STREET,DOE Owned,OUTDOOR YARD 2,4500,OUTDOOR YARD,false,Outside,false
Manhattan,1,1,01M650,Cascades High School,High school,M510,FORSYTH HS (AUXSVC-OLD 91) - M,198 FORSYTH STREET,DOE Owned,401,567,DANCE ROOM,false,Inside,false
Manhattan,1,1,01M650,Cascades High School,High school,M510,FORSYTH HS (AUXSVC-OLD 91) - M,198 FORSYTH STREET,DOE Owned,GYM,2464,GYMNASIUM,true,Inside,false
Manhattan,1,1,01M650,Cascades High School,High school,M510,FORSYTH HS (AUXSVC-OLD 91) - M,198 FORSYTH STREET,DOE Owned,OUTDOOR YARD 1,2109,OUTDOOR YARD,true,Outside,false
Manhattan,1,1,01M650,Cascades High School,High school,M510,FORSYTH HS (AUXSVC-OLD 91) - M,198 FORSYTH STREET,DOE Owned,OUTDOOR YARD 2,2375,OUTDOOR YARD,true,Outside,false
Manhattan,1,1,01M696,Bard High School Early College,High school,M097,BARD COLLEGE HS (OLD M097) - M,525 EAST HOUSTON STREET,DOE Owned,209,675,MULTI-PURPOSE NON CLASSROOM,false,Inside,true
Manhattan,1,1,01M696,Bard High School Early College,High school,M097,BARD COLLEGE HS (OLD M097) - M,525 EAST HOUSTON STREET,DOE Owned,GYM,1147,GYMNASIUM,false,Inside,false
Manhattan,1,1,01M696,Bard High School Early College,High school,M097,BARD COLLEGE HS (OLD M097) - M,525 EAST HOUSTON STREET,DOE Owned,OUTDOOR YARD 1,6000,OUTDOOR YARD,false,Outside,false
Manhattan,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,B43,1344,DANCE ROOM,false,Inside,false
Manhattan,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,B53,6336,GYMNASIUM,true,Inside,false
Manhattan,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,OUTDOOR YARD 1,17214,OUTDOOR YARD,true,Outside,false
Manhattan,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,OUTDOOR YARD 2,16535,OUTDOOR YARD,true,Outside,false
Manhattan,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,8 HENRY STREET,DOE Owned,505,525,ADAPTIVE PHYSICAL EDUCATION,false,Inside,false
Manhattan,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,8 HENRY STREET,DOE Owned,GR FL,5472,MULTI-PURPOSE NON CLASSROOM,false,Inside,true
Manhattan,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,8 HENRY STREET,DOE Owned,GR FL,5472,MULTI-PURPOSE NON CLASSROOM,false,Inside,true
Manhattan,2,2,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - MANHATTAN,122 HENRY STREET,DOE Owned,GYM.,3819,GYMNASIUM,false,Inside,false
Manhattan,2,2,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - MANHATTAN,122 HENRY STREET,DOE Owned,OUTDOOR YARD 1,33842,OUTDOOR YARD,false,Outside,false
Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,DOE Owned,402,945,DANCE ROOM,false,Inside,false
Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,DOE Owned,402,945,DANCE ROOM,false,Inside,false
Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,DOE Owned,506A,276,MULTI-PURPOSE CLASSROOM,false,Inside,true
