Borough,Geographical  District,Admin District,ATS Code,LocationName,Grade Level,BldgID,Bldg Name,Address,Ownership,Room Number,sqft,Room Function,Shared with other schools?,Insidevoutside,Space used for any other purpose beside PE,_location,_latitude,_longitude,_status,_bin,_bbl
Manhattan,6,6,06M004,P.S. 004 Duke Ellington,Elementary,M004,P.S. 4 - MANHATTAN,500 WEST 160 STREET,DOE Owned,122,2668,GYMNASIUM,FALSE,Inside,FALSE,"500 WEST 160 STREET, Manhattan, New York, NY, USA",40.834871,-73.941639,Unchecked,1062792,1021180022
Manhattan,6,6,06M005,P.S. 005 Ellen Lurie,Elementary,M005,P.S. 5 - MANHATTAN,3703 TENTH AVENUE,DOE Owned,OUTDOOR YARD 2,1000,OUTDOOR YARD,FALSE,Outside,FALSE,"3703 TENTH AVENUE, Manhattan, New York, NY, USA",40.858086,-73.922198,Unchecked,1084201,1021500030
Manhattan,6,6,06M008,P.S. 008 Luis Belliard,Elementary,M008,P.S. 8 - MANHATTAN,465 WEST 167 STREET,DOE Owned,OUTDOOR YARD 2,118,OUTDOOR YARD,FALSE,Outside,FALSE,"465 WEST 167 STREET, Manhattan, New York, NY, USA",40.839155,-73.936597,Unchecked,1081842,1021120001
Manhattan,6,6,06M028,P.S. 028 Wright Brothers,Elementary,M028,P.S. 28 - MANHATTAN,475 WEST 155 STREET,DOE Owned,145,3990,GYMNASIUM,FALSE,Inside,FALSE,"475 WEST 155 STREET, Manhattan, New York, NY, USA",40.831639,-73.942402,Unchecked,1076739,1021070026
Manhattan,6,6,06M048,P.S. 048 P.O. Michael J. Buczek,Elementary,M048,P.S. 48 - MANHATTAN,4360-78 BROADWAY,DOE Owned,200,550,DANCE ROOM,FALSE,Inside,FALSE,"4360 BROADWAY, Manhattan, New York, NY, USA",40.853172,-73.933599,Checked,1076752,1021670029
Manhattan,6,6,06M098,P.S. 098 Shorac Kappock,Elementary,M098,P.S. 98 - MANHATTAN,512 WEST 212 STREET,DOE Owned,206,588,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"512 WEST 212 STREET, Manhattan, New York, NY, USA",40.867772,-73.917527,Unchecked,1064871,1022290012
Manhattan,6,6,06M103,Dos Puentes Elementary School,Elementary,M132,P.S. 132 - MANHATTAN,185 WADSWORTH AVENUE,DOE Owned,409,600,DANCE ROOM,FALSE,Inside,FALSE,"185 WADSWORTH AVENUE, Manhattan, New York, NY, USA",40.850523,-73.933968,Unchecked,1063947,1021650026
Manhattan,6,6,06M115,P.S. 115 Alexander Humboldt,Elementary,M115,P.S. 115 - MANHATTAN,586 WEST 177 STREET,DOE Owned,GYM-FR,1472,GYMNASIUM,TRUE,Inside,FALSE,"586 WEST 177 STREET, Manhattan, New York, NY, USA",40.84633,-73.935142,Unchecked,1063228,1021330040
Manhattan,6,6,06M128,P.S. 128 Audubon,Elementary,M128,P.S. 128 - MANHATTAN,560 WEST 169 STREET,DOE Owned,120,624,DANCE ROOM,FALSE,Inside,FALSE,"560 WEST 169 STREET, Manhattan, New York, NY, USA",40.840965,-73.938751,Unchecked,1062994,1021250001
Manhattan,6,6,06M132,P.S. 132 Juan Pablo Duarte,Elementary,M132,P.S. 132 - MANHATTAN,185 WADSWORTH AVENUE,DOE Owned,511,1155,GYMNASIUM,TRUE,Inside,FALSE,"185 WADSWORTH AVENUE, Manhattan, New York, NY, USA",40.850523,-73.933968,Unchecked,1063947,1021650026
Manhattan,6,6,06M152,P.S. 152 Dyckman Valley,Elementary,M152,P.S. 152 - MANHATTAN,93 NAGLE AVENUE,DOE Owned,107,5076,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"93 NAGLE AVENUE, Manhattan, New York, NY, USA",40.860153,-73.927604,Unchecked,1064149,1021730001
Manhattan,6,6,06M153,P.S. 153 Adam Clayton Powell,Elementary,M153,P.S. 153 - MANHATTAN,1750 AMSTERDAM AVENUE,DOE Owned,146,1232,DANCE ROOM,FALSE,Inside,FALSE,"1750 AMSTERDAM AVENUE, Manhattan, New York, NY, USA",40.826456,-73.947463,Unchecked,1081834,1020780019
Manhattan,6,6,06M173,P.S. 173,Elementary,M173,P.S. 173 - MANHATTAN,306 FORT WASHINGTON AVENUE,DOE Owned,1000,3900,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"306 FORT WASHINGTON AVENUE, Manhattan, New York, NY, USA",40.845685,-73.9399,Unchecked,1063503,1021420154
Manhattan,6,6,06M178,Professor Juan Bosch Public School,Elementary,M178,P.S. 178 - MANHATTAN,12-18 ELLWOOD STREET,DOE Owned,501,2550,GYMNASIUM,FALSE,Inside,FALSE,"12 ELLWOOD STREET, Manhattan, New York, NY, USA",40.859241,-73.928298,Checked,1064128,1021710036
Manhattan,6,6,06M189,P.S. 189,Elementary,M189,P.S. 189 - MANHATTAN,2580 AMSTERDAM AVENUE,DOE Owned,CAF/OLD,1798,GYMNASIUM,FALSE,Inside,FALSE,"2580 AMSTERDAM AVENUE, Manhattan, New York, NY, USA",40.852866,-73.927861,Unchecked,1076750,1021590051
Manhattan,6,6,06M192,P.S. 192 Jacob H. Schiff,Elementary,M192,P.S. 192 - MANHATTAN,500 WEST 138 STREET,DOE Owned,GYM,4810,GYMNASIUM,TRUE,Inside,FALSE,"500 WEST 138 STREET, Manhattan, New York, NY, USA",40.820959,-73.953271,Unchecked,1084132,1019880166
Manhattan,6,6,06M314,Muscota,Elementary,M176,P.S./I.S. 176 - MANHATTAN,4862 BROADWAY,DOE Owned,125,2596,GYMNASIUM,TRUE,Inside,FALSE,"4862 BROADWAY, Manhattan, New York, NY, USA",40.866364,-73.924041,Unchecked,1064900,1022340007
Manhattan,6,6,06M368,Hamilton Heights School,Elementary,M153,P.S. 153 - MANHATTAN,1750 AMSTERDAM AVENUE,DOE Owned,GYM.,2623,GYMNASIUM,TRUE,Inside,FALSE,"1750 AMSTERDAM AVENUE, Manhattan, New York, NY, USA",40.826456,-73.947463,Unchecked,1081834,1020780019
Manhattan,6,6,06M368,Hamilton Heights School,Elementary,M153,P.S. 153 - MANHATTAN,1750 AMSTERDAM AVENUE,DOE Owned,OUTDOOR YARD 1,3750,OUTDOOR YARD,TRUE,Outside,FALSE,"1750 AMSTERDAM AVENUE, Manhattan, New York, NY, USA",40.826456,-73.947463,Unchecked,1081834,1020780019
Manhattan,6,6,06M513,Castle Bridge School,Elementary,M128,P.S. 128 - MANHATTAN,560 WEST 169 STREET,DOE Owned,123,3850,GYMNASIUM,TRUE,Inside,FALSE,"560 WEST 169 STREET, Manhattan, New York, NY, USA",40.840965,-73.938751,Unchecked,1062994,1021250001
Manhattan,6,6,06M513,Castle Bridge School,Elementary,M128,P.S. 128 - MANHATTAN,560 WEST 169 STREET,DOE Owned,OUTDOOR YARD 1,1200,OUTDOOR YARD,TRUE,Outside,FALSE,"560 WEST 169 STREET, Manhattan, New York, NY, USA",40.840965,-73.938751,Unchecked,1062994,1021250001
