Borough,Geographical  District,Admin District,ATS Code,LocationName,Grade Level,BldgID,Bldg Name,Address,Ownership,Room Number,sqft,Room Function,Shared with other schools?,Insidevoutside,Space used for any other purpose beside PE,_location,_latitude,_longitude,_status,_bin,_bbl
Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,DOE Owned,505,700,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE,"71 HESTER STREET, Manhattan, New York, NY, USA",40.716133,-73.990985,Unchecked,1003998,1003090001
Manhattan,2,2,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,525 WEST 44TH STREET,DOE Owned,320,4895,GYMNASIUM,FALSE,Inside,FALSE,"525 WEST 44 STREET, Manhattan, New York, NY, USA",40.761594,-73.995528,Checked,1089418,1010730014
Manhattan,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,MIDTOWN EAST CAMPUS - MANHATTAN,231-249 EAST 56 STREET,DOE Owned,108,720,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"231 EAST 56 STREET, Manhattan, New York, NY, USA",40.75927,-73.966328,Checked,1088892,1013300013
Manhattan,2,2,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - MANHATTAN,1700 3 AVENUE,DOE Owned,GYM,3630,GYMNASIUM,TRUE,Inside,FALSE,"1700 3 AVENUE, Manhattan, New York, NY, USA",40.785012,-73.950031,Unchecked,1048492,1015240023
Manhattan,2,2,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - MANHATTAN,1700 3 AVENUE,DOE Owned,OUTDOOR YARD 1,2940,OUTDOOR YARD,TRUE,Outside,FALSE,"1700 3 AVENUE, Manhattan, New York, NY, USA",40.785012,-73.950031,Unchecked,1048492,1015240023
Manhattan,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - MANHATTAN,201 WARREN STREET,DOE Owned,127,688,DANCE ROOM,FALSE,Inside,FALSE,"201 WARREN STREET, Manhattan, New York, NY, USA",40.716969,-74.013793,Checked,1085568,1000160220
Manhattan,2,2,02M111,P.S. 111 Adolph S. Ochs,Elementary,M111,P.S. 111 - MANHATTAN,440 WEST 53 STREET,DOE Owned,GYM,3816,GYMNASIUM,TRUE,Inside,FALSE,"440 WEST 53 STREET, Manhattan, New York, NY, USA",40.76578,-73.9896,Unchecked,1026740,1010620003
Manhattan,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,DOE Owned,208,550,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"210 EAST 33 STREET, Manhattan, New York, NY, USA",40.744489,-73.977705,Unchecked,1020080,1009130007
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,104,594,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE,"40 DIVISION STREET, Manhattan, New York, NY, USA",40.714935,-73.995705,Unchecked,1075787,1002890001
Manhattan,2,2,02M130,P.S. 130 Hernando De Soto,Elementary,M130,P.S. 130 - MANHATTAN,143 BAXTER STREET,DOE Owned,308,560,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"143 BAXTER STREET, Manhattan, New York, NY, USA",40.718764,-73.998318,Unchecked,1003086,1002360038
Manhattan,2,2,02M150,P.S. 150,Elementary,M840,P.S. 150 - MANHATTAN,334 GREENWICH STREET,TAX LEVY LEASE,MULTI,884,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE,"334 GREENWICH STREET, Manhattan, New York, NY, USA",40.718289,-74.01095,Unchecked,1083240,1001420025
Manhattan,2,2,02M151,Yorkville Community School,Elementary,M066,RICHARD R GREEN HS OF TEACHING - M,421 EAST 88 STREET,DOE Owned,301/302,1218,GYMNASIUM,FALSE,Inside,FALSE,"421 EAST 88 STREET, Manhattan, New York, NY, USA",40.777918,-73.94736,Unchecked,1050618,1015680008
Manhattan,2,2,02M158,P.S. 158 Bayard Taylor,Elementary,M158,P.S. 158 - MANHATTAN,1458 YORK AVENUE,DOE Owned,302,528,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"1458 YORK AVENUE, Manhattan, New York, NY, USA",40.770257,-73.95092,Checked,1046411,1014890001
Manhattan,2,2,02M183,P.S. 183 Robert L. Stevenson,Elementary,M183,P.S. 183 - MANHATTAN,419 EAST 66 STREET,DOE Owned,404,3245,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"419 EAST 66 STREET, Manhattan, New York, NY, USA",40.76376,-73.957773,Unchecked,1045569,1014610007
Manhattan,2,2,02M198,P.S. 198 Isador E. Ida Straus,Elementary,M198,P.S. 198 - MANHATTAN,1700 3 AVENUE,DOE Owned,223,280,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"1700 3 AVENUE, Manhattan, New York, NY, USA",40.785012,-73.950031,Unchecked,1048492,1015240023
Manhattan,2,2,02M212,P.S. 212 Midtown West,Elementary,M017,I.S. 17 - MANHATTAN,328 WEST 48 STREET,DOE Owned,5B,2166,GYMNASIUM,TRUE,Inside,FALSE,"328 WEST 48 STREET, Manhattan, New York, NY, USA",40.761503,-73.988667,Unchecked,1025092,1010380014
Manhattan,2,2,02M234,P.S. 234 Independence School,Elementary,M234,P.S. 234 - MANHATTAN,292 GREENWICH STREET,DOE Owned,106,2494,GYMNASIUM,FALSE,Inside,FALSE,"292 GREENWICH STREET, Manhattan, New York, NY, USA",40.71623,-74.01164,Unchecked,1001533,1001420001
Manhattan,2,2,02M267,"East Side Elementary School, PS 267",Elementary,M267,P.S. 59 (MEETH) - MANHATTAN,213 EAST 63RD STREET,DOE Owned,602,3344,GYMNASIUM,FALSE,Inside,FALSE,"213 EAST 63 STREET, Manhattan, New York, NY, USA",40.763927,-73.963988,Unchecked,1087680,1014180007
Manhattan,2,2,02M281,The River School,Elementary,M281,P.S. 281 - MANHATTAN,425 EAST 35TH STREET,DOE Owned,201,2832,GYMNASIUM,TRUE,Inside,FALSE,"425 EAST 35 STREET, Manhattan, New York, NY, USA",40.744469,-73.972403,Checked,1089385,1009670002
Manhattan,2,2,02M290,P.S. 290 Manhattan New School,Elementary,M190,P.S. 290 - MANHATTAN,311 EAST 82 STREET,DOE Owned,404,550,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"311 EAST 82 STREET, Manhattan, New York, NY, USA",40.775138,-73.95281,Unchecked,1049876,1015450005
Manhattan,2,2,02M340,Sixth Avenue Elementary School,Elementary,M340,THE SIXTH AVENUE EDUCATIONAL CAMPUS - MANHATTAN,590 SIXTH AVENUE,DOE Owned,102,1344,DANCE ROOM,FALSE,Inside,FALSE,"590 SIXTH AVENUE, Manhattan, New York, NY, USA",40.738903,-73.995153,Checked,1068261,1008187501
Manhattan,2,2,02M343,The Peck Slip School,Elementary,M343,THE PECK SLIP SCHOOL - MANHATTAN,1 PECK SLIP,DOE Owned,126,1332,AUXILIARY EXERCISE ROOM,FALSE,Inside,FALSE,"1 PECK SLIP, Manhattan, New York, NY, USA",40.708645,-74.001911,Unchecked,1001363,1001060009
