School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Borough Name,Postcode,Latitude,Longitude
2015-16,M017,,328 WEST  48 STREET CONSOLIDATED LOCATION,,328 WEST  48 STREET,M,2,924,328 WEST  48 STREET CONSOLIDATED LOCATION,2,P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION,MANHATTAN,10036,40.761448,-73.988019
2015-16,M019,01M019,P.S. 019 Asher Levy,M019,185 1 AVENUE,M,1,270,185 1 AVENUE CONSOLIDATED LOCATION,2,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",MANHATTAN,10003,40.729636,-73.983818
2015-16,M019,01M301,"Technology, Arts, and Sciences Studio",M301,185 1 AVENUE,M,1,156,185 1 AVENUE CONSOLIDATED LOCATION,2,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",MANHATTAN,10003,40.729636,-73.983818
2015-16,M019,,185 1 AVENUE CONSOLIDATED LOCATION,,185 1 AVENUE,M,1,426,185 1 AVENUE CONSOLIDATED LOCATION,2,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",MANHATTAN,10003,40.729636,-73.983818
2015-16,M020,01M020,P.S. 020 Anna Silver,M020,166 ESSEX STREET,M,1,581,,1,P.S. 020 Anna Silver,MANHATTAN,10002,40.72154,-73.986648
2015-16,M022,01M539,"New Explorations into Science, Technology and Math",M539,111 COLUMBIA STREET,M,1,1753,,1,"New Explorations into Science, Technology and Math",MANHATTAN,10002,40.718895,-73.979308
2015-16,M025,01M378,School for Global Leaders,M378,145 STANTON STREET,M,1,264,145 STANTON STREET CONSOLIDATED LOCATION,3,Marta Valle High School |  Lower East Side Preparatory High School |  145 STANTON STREET CONSOLIDATED LOCATION,MANHATTAN,10002,40.720581,-73.985645
2015-16,M025,01M509,Marta Valle High School,M509,145 STANTON STREET,M,1,272,145 STANTON STREET CONSOLIDATED LOCATION,3,Marta Valle High School |  Lower East Side Preparatory High School |  145 STANTON STREET CONSOLIDATED LOCATION,MANHATTAN,10002,40.720581,-73.985645
2015-16,M025,01M515,Lower East Side Preparatory High School,M515,145 STANTON STREET,M,1,564,145 STANTON STREET CONSOLIDATED LOCATION,3,Marta Valle High School |  Lower East Side Preparatory High School |  145 STANTON STREET CONSOLIDATED LOCATION,MANHATTAN,10002,40.720581,-73.985645
2015-16,M025,,145 STANTON STREET CONSOLIDATED LOCATION,,145 STANTON STREET,M,1,1100,145 STANTON STREET CONSOLIDATED LOCATION,3,Marta Valle High School |  Lower East Side Preparatory High School |  145 STANTON STREET CONSOLIDATED LOCATION,MANHATTAN,10002,40.720581,-73.985645
2015-16,M028,06M028,P.S. 028 Wright Brothers,M028,475 WEST 155 STREET,M,6,704,,1,P.S. 028 Wright Brothers,MANHATTAN,10032,40.831227,-73.942143
2015-16,M932,03M859,Special Music School,M859,129 WEST  67 STREET,M,3,277,,1,Special Music School,MANHATTAN,10023,40.774919,-73.982745
2015-16,M030,75M138,P.S. 138,M138,144-176 EAST 128 STREET,M,5,606,144-176 EAST 128 STREET CONSOLIDATED LOCATION,3,P.S. 030 Hernandez/Hughes|  P.S. 138|  Success Academy Charter School - Harlem 2|  144-176 EAST 128 STREET CONSOLIDATED LOCATION,MANHATTAN,10035,40.805953,-73.935179
2015-16,M030,84M384      ,Success Academy Charter School - Harlem 2,M384,144-176 EAST 128 STREET,M,5,821,144-176 EAST 128 STREET CONSOLIDATED LOCATION,3,P.S. 030 Hernandez/Hughes|  P.S. 138|  Success Academy Charter School - Harlem 2|  144-176 EAST 128 STREET CONSOLIDATED LOCATION,MANHATTAN,10035,40.805953,-73.935179
2015-16,M030,,144-176 EAST 128 STREET CONSOLIDATED LOCATION,,144-176 EAST 128 STREET,M,5,1712,144-176 EAST 128 STREET CONSOLIDATED LOCATION,3,P.S. 030 Hernandez/Hughes|  P.S. 138|  Success Academy Charter School - Harlem 2|  144-176 EAST 128 STREET CONSOLIDATED LOCATION,MANHATTAN,10035,40.805953,-73.935179
2015-16,M033,02M033,P.S. 033 Chelsea Prep,M033,281 9 AVENUE,M,2,639,,1,P.S. 033 Chelsea Prep,MANHATTAN,10001,40.748818,-73.999646
2015-16,M034,01M034,P.S. 034 Franklin D. Roosevelt,M034,730 EAST  12 STREET,M,1,394,,1,P.S. 034 Franklin D. Roosevelt,MANHATTAN,10009,40.726473,-73.975181
2015-16,M036,05M036,P.S. 036 Margaret Douglas,M036,123 MORNINGSIDE DRIVE,M,5,447,,1,P.S. 036 Margaret Douglas,MANHATTAN,10027,40.81027,-73.957482
2015-16,M040,02M040,P.S. 040 Augustus Saint-Gaudens,M040,319 EAST 19 STREET,M,2,631,319 EAST 19 STREET CONSOLIDATED LOCATION,2,P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION,MANHATTAN,10003,40.735161,-73.982027
2015-16,M040,02M255,M.S. 255 Salk School of Science,M255,319 EAST 19 STREET,M,2,374,319 EAST 19 STREET CONSOLIDATED LOCATION,2,P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION,MANHATTAN,10003,40.735161,-73.982027
2015-16,M040,,319 EAST 19 STREET CONSOLIDATED LOCATION,,319 EAST 19 STREET,M,2,1005,319 EAST 19 STREET CONSOLIDATED LOCATION,2,P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION,MANHATTAN,10003,40.735161,-73.982027
2015-16,M041,02M041,P.S. 041 Greenwich Village,M041,116 WEST  11 STREET,M,2,721,,1,P.S. 041 Greenwich Village,MANHATTAN,10011,40.735692,-73.999026
2015-16,M042,02M042,P.S. 042 Benjamin Altman,M042,71 HESTER STREET,M,2,737,,1,P.S. 042 Benjamin Altman,MANHATTAN,10002,40.715905,-73.990895
2015-16,M043,05M286,I.S. M286 Renaissance Leadership Academy,M286,509 WEST 129 STREET,M,5,154,509 WEST 129 STREET CONSOLIDATED LOCATION,4,I.S. M286 Renaissance Leadership Academy |  Academy for Social Action: A College Board School |  Urban Assembly School for the Performing Arts |  The Urban Assembly Institute for New Technologies |  509 WEST 129 STREET CONSOLIDATED LOCATION,MANHATTAN,10027,40.815256,-73.955325
2015-16,M043,05M367,Academy for Social Action: A College Board School,M367,509 WEST 129 STREET,M,5,170,509 WEST 129 STREET CONSOLIDATED LOCATION,4,I.S. M286 Renaissance Leadership Academy |  Academy for Social Action: A College Board School |  Urban Assembly School for the Performing Arts |  The Urban Assembly Institute for New Technologies |  509 WEST 129 STREET CONSOLIDATED LOCATION,MANHATTAN,10027,40.815256,-73.955325
2015-16,M043,05M369,THE URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS (MANHATTAN),M369,509 WEST 129 STREET,M,5,350,509 WEST 129 STREET CONSOLIDATED LOCATION,4,I.S. M286 Renaissance Leadership Academy |  Academy for Social Action: A College Board School |  Urban Assembly School for the Performing Arts |  The Urban Assembly Institute for New Technologies |  509 WEST 129 STREET CONSOLIDATED LOCATION,MANHATTAN,10027,40.815256,-73.955325
2015-16,M043,05M410,The Urban Assembly Institute for New Technologies,M410,509 WEST 129 STREET,M,5,108,509 WEST 129 STREET CONSOLIDATED LOCATION,4,I.S. M286 Renaissance Leadership Academy |  Academy for Social Action: A College Board School |  Urban Assembly School for the Performing Arts |  The Urban Assembly Institute for New Technologies |  509 WEST 129 STREET CONSOLIDATED LOCATION,MANHATTAN,10027,40.815256,-73.955325
